Game,GameDate,PlayerID,GroupID,Level,Order,Track,Car,Body,Engine,Tire,Finished,FinishTime,TopSpeedReached,TimeTo30,TimeTo60,TimeTo100,CheckPoint1,CheckPoint2,CheckPoint3,TimeOnTrack,TimeOffTrack,Mass,Drag,Traction,FullTorqueOverAllWheel,TopSpeed,TireRadius,Variable1,Variable2,Variable3
500,11/14/2020 23:11,a,Sample3,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,23.39,67.39,4.27,13.58,-1,9.49,15.34,21.28,23.27,0.12,1500,0.11,1,2500,150,0.4,,,
556,11/14/2020 23:13,a,Sample3B,Paired,3,OvalTrack,14,Nightingale,Nightingale,Nightingale,1,24.06,76.29,5.39,14.49,-1,10.73,16.56,22.18,24.06,0,1900,0.07,1,2500,150,0.43,,,
527,11/14/2020 23:14,a,Sample3,Paired,2,OvalTrack,27,Gauss,Gauss,Gauss,1,25.01,76.35,4.64,11.38,-1,9.74,15.1,22.52,23.44,1.57,1700,0.05,1,2150,150,0.37,,,
549,11/14/2020 23:16,b,Sample3,Paired,3,OvalTrack,27,Gauss,Gauss,Gauss,1,21.58,87.31,4.64,11.39,-1,9.96,15.09,19.93,21.58,0,1700,0.05,1,2150,150,0.37,,,
501,11/14/2020 23:17,b,Sample3,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,23.19,69.81,4.26,13.59,-1,9.73,15.44,21.18,23.19,0,1500,0.11,1,2500,150,0.4,,,
535,11/14/2020 23:18,b,Sample3B,Paired,2,OvalTrack,14,Nightingale,Nightingale,Nightingale,1,23.41,75.43,5.42,14.46,-1,10.35,16.08,21.51,23.41,0,1900,0.07,1,2500,150,0.43,,,
542,11/14/2020 23:20,c,Sample3,Paired,3,OvalTrack,1,Bayes,Bayes,Bayes,1,57.39,53.16,4.33,-1,-1,9.99,35.66,54.06,26.66,30.72,1500,0.11,1,2500,150,0.4,,,
528,11/14/2020 23:21,c,Sample3,Paired,2,OvalTrack,27,Gauss,Gauss,Gauss,1,77.33,43.9,37.66,-1,-1,30.33,42.99,73.66,58.33,18.99,1700,0.05,1,2150,150,0.37,,,
514,11/14/2020 23:23,c,Sample3B,Paired,1,OvalTrack,14,Nightingale,Nightingale,Nightingale,1,165.16,47.29,78.08,-1,-1,69.31,82.11,161.85,109.3,55.86,1900,0.07,1,2500,150,0.43,,,
508,11/14/2020 23:24,d,Sample3,Paired,1,OvalTrack,27,Gauss,Gauss,Gauss,1,22.33,81.17,4.63,11.42,-1,9.85,15.23,20.52,22.15,0.18,1700,0.05,1,2150,150,0.37,,,
536,11/14/2020 23:26,d,Sample3B,Paired,2,OvalTrack,14,Nightingale,Nightingale,Nightingale,1,23.7,75.8,5.38,14.55,-1,10.44,16.2,21.83,23.7,0,1900,0.07,1,2500,150,0.43,,,
543,11/14/2020 23:27,d,Sample3,Paired,3,OvalTrack,1,Bayes,Bayes,Bayes,1,26.43,65.35,4.85,14.47,-1,10.2,16.16,23.79,25.53,0.9,1500,0.11,1,2500,150,0.4,,,
509,11/14/2020 23:28,e,Sample3,Paired,1,OvalTrack,27,Gauss,Gauss,Gauss,1,22.06,83.28,4.64,11.41,-1,10,15.34,20.31,21.96,0.09,1700,0.05,1,2150,150,0.37,,,
521,11/14/2020 23:30,e,Sample3,Paired,2,OvalTrack,1,Bayes,Bayes,Bayes,1,23.51,69.94,4.28,13.71,-1,9.76,15.6,21.48,23.51,0,1500,0.11,1,2500,150,0.4,,,
557,11/14/2020 23:31,e,Sample3B,Paired,3,OvalTrack,14,Nightingale,Nightingale,Nightingale,1,23.6,75.94,5.44,14.47,-1,10.36,16.25,21.72,23.6,0,1900,0.07,1,2500,150,0.43,,,
550,11/14/2020 23:33,f,Sample3,Paired,3,OvalTrack,27,Gauss,Gauss,Gauss,1,29.71,68.79,4.67,16.03,-1,10.78,17.26,27.05,25.83,3.87,1700,0.05,1,2150,150,0.37,,,
522,11/14/2020 23:34,f,Sample3,Paired,2,OvalTrack,1,Bayes,Bayes,Bayes,1,43.3,58.14,11.44,-1,-1,19.98,27.94,40.29,34.37,8.92,1500,0.11,1,2500,150,0.4,,,
515,11/14/2020 23:36,f,Sample3B,Paired,1,OvalTrack,14,Nightingale,Nightingale,Nightingale,1,62.72,59.66,41.24,-1,-1,46.38,53.07,60.19,61.98,0.73,1900,0.07,1,2500,150,0.43,,,
529,11/14/2020 23:37,g,Sample3,Paired,2,OvalTrack,27,Gauss,Gauss,Gauss,1,22.33,81.64,4.64,11.39,-1,9.92,15.25,20.54,22.15,0.18,1700,0.05,1,2150,150,0.37,,,
502,11/14/2020 23:39,g,Sample3,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,23.49,69.79,4.24,13.57,-1,9.76,15.53,21.42,23.49,0,1500,0.11,1,2500,150,0.4,,,
